(5.881917945820905, 0.35258756722416795)
(5.8331408649123695, 0.3488325029435518)
(5.745611945472607, 0.38645234574673215)
(5.6591271458517, 0.41906957236534964)
(5.569457518435985, 0.44371732041797946)
(5.4756972873125, 0.47858824371232606)
(5.360391054506467, 0.5006995889247168)
(5.258200506913103, 0.5164996811955499)
(5.16927151786585, 0.534850606627586)
(5.096553143701477, 0.5456538116846577)
(5.023505594319604, 0.543458723558563)
(4.961009133546297, 0.5265603281975887)
(4.882887724103451, 0.5093253235076226)
(4.83076268886905, 0.47079909550262594)
(4.758707070220149, 0.44531397448321436)
(4.746686734468811, 0.4512333156596806)
(4.70851487692224, 0.44680114931353787)
(4.688407664241014, 0.43713878898247266)
(4.661916746863209, 0.43205851082533836)
(4.649163198192367, 0.44190087740780504)
(4.646695874739101, 0.45270772323538166)
(4.554463586700038, 0.45528709768615394)
(4.474891231838791, 0.44702632642459006)
(4.428239423875792, 0.469605878879655)
(4.348272621764809, 0.47191034414147803)
(4.30535311343273, 0.4979097221982336)
(4.241674540641437, 0.5217143357992646)
(4.191687567011916, 0.5400575148494569)
(4.147307401396228, 0.5813157184905645)
(4.078980018645498, 0.622925438105521)
(4.076393479275826, 0.6667267229562732)
(4.081114704236185, 0.7433219738653625)
(4.083664368348729, 0.8388653451933482)
(4.111662216195172, 0.9526503544050315)
(4.171178629547015, 1.0208394594572807)
(4.190032055982218, 1.0797746478353825)
(4.164897613823237, 1.1481234823352044)
(4.159625350630107, 1.2313889160720741)
(4.16197957909709, 1.321333749417081)
(4.176064302186107, 1.4187929834274449)
(4.198782055371298, 1.492307318721219)
(4.197441543072723, 1.5722960868501092)
(4.215412529855498, 1.5918293535574362)
(4.1766347640602, 1.6478752779649322)
(4.163889380053101, 1.726853472338516)
(4.108839666825911, 1.7869360811325636)
(4.073346429248583, 1.8645937279007148)
(4.035168877824465, 1.9348964630342698)
(3.980308570622147, 1.9647164030953852)
(3.921329031489738, 2.0076380872737)
(3.8212189303708066, 2.0577612749843586)
(3.7246115194991045, 2.1060408581573027)
(3.629155890974338, 2.1602287462252265)
